RegionCode,Region/CityName,CountryName,CountryCode,ProductID,ProductName,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL06,Algeria,Sétif,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,98,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,95,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,12982,Possession of Cooker,% of hh,,,,,,,,,78,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,42,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,16,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,2511,Possession of Telephone,% of hh,,,,,,,,,40,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,90,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,23,,,,,,,,,,,,
AL06,Algeria,Sétif,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,6,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,18,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,95,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,89,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,12982,Possession of Cooker,% of hh,,,,,,,,,64,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,28,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,17,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,2511,Possession of Telephone,% of hh,,,,,,,,,23,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,84,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,15,,,,,,,,,,,,
AL09,Algeria,Tibissah,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,3,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,20,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,89,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,75,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,12982,Possession of Cooker,% of hh,,,,,,,,,54,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,23,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,4,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,2511,Possession of Telephone,% of hh,,,,,,,,,16,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,70,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,16,,,,,,,,,,,,
AL08,Algeria,Djelfa,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,5,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,2505,Possession of Passenger Car,% of hh,,,,,,,,,25,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,2499,Possession of Colour TV Set,% of hh,,,,,,,,,99,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,2508,Possession of Refrigerator,% of hh,,,,,,,,,96,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,12982,Possession of Cooker,% of hh,,,,,,,,,84,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,2516,Possession of Washing Machine,% of hh,,,,,,,,,34,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,2494,Possession of Air Conditioner,% of hh,,,,,,,,,12,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,2511,Possession of Telephone,% of hh,,,,,,,,,37,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,12987,Possession of Satellite TV System,% of hh,,,,,,,,,87,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,2506,Possession of Personal Computer,% of hh,,,,,,,,,17,,,,,,,,,,,,
AL07,Algeria,Sidi bel Abbès,AL,59927,Possession of Internet Enabled Computer,% of hh,,,,,,,,,5,,,,,,,,,,,,
AR,Argentina,Total,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,94,,,,,,,,,,
AR,Argentina,Total,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,47,,,,,,,,,,
AR,Argentina,Total,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,86,,,,,,,,,,
AR,Argentina,Total,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,56,,,,,,,,,,
R020,Argentina,Cuyo,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,94,,,,,,,,,,
R020,Argentina,Cuyo,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,44,,,,,,,,,,
R020,Argentina,Cuyo,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,87,,,,,,,,,,
R020,Argentina,Cuyo,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,45,,,,,,,,,,
R021,Argentina,Gran Buenos Aires,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,97,,,,,,,,,,
R021,Argentina,Gran Buenos Aires,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,69,,,,,,,,,,
R021,Argentina,Gran Buenos Aires,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,87,,,,,,,,,,
R021,Argentina,Gran Buenos Aires,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,85,,,,,,,,,,
R022,Argentina,Noreste,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,84,,,,,,,,,,
R022,Argentina,Noreste,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,29,,,,,,,,,,
R022,Argentina,Noreste,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,84,,,,,,,,,,
R022,Argentina,Noreste,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,28,,,,,,,,,,
R023,Argentina,Noroeste,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,86,,,,,,,,,,
R023,Argentina,Noroeste,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,32,,,,,,,,,,
R023,Argentina,Noroeste,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,81,,,,,,,,,,
R023,Argentina,Noroeste,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,36,,,,,,,,,,
R024,Argentina,Pampeana,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,96,,,,,,,,,,
R024,Argentina,Pampeana,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,48,,,,,,,,,,
R024,Argentina,Pampeana,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,86,,,,,,,,,,
R024,Argentina,Pampeana,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,60,,,,,,,,,,
R025,Argentina,Patagonica,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,94,,,,,,,,,,
R025,Argentina,Patagonica,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,55,,,,,,,,,,
R025,Argentina,Patagonica,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,91,,,,,,,,,,
R025,Argentina,Patagonica,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,46,,,,,,,,,,
AR01,Argentina,Buenos Aires,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,97,,,,,,,,,,
AR01,Argentina,Buenos Aires,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,54,,,,,,,,,,
AR01,Argentina,Buenos Aires,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,86,,,,,,,,,,
AR01,Argentina,Buenos Aires,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,71,,,,,,,,,,
AR08,Argentina,La Plata,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,97,,,,,,,,,,
AR08,Argentina,La Plata,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,57,,,,,,,,,,
AR08,Argentina,La Plata,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,87,,,,,,,,,,
AR08,Argentina,La Plata,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,66,,,,,,,,,,
AR09,Argentina,Mar del Plata,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,97,,,,,,,,,,
AR09,Argentina,Mar del Plata,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,52,,,,,,,,,,
AR09,Argentina,Mar del Plata,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,86,,,,,,,,,,
AR09,Argentina,Mar del Plata,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,71,,,,,,,,,,
AR11,Argentina,Resistencia,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,91,,,,,,,,,,
AR11,Argentina,Resistencia,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,43,,,,,,,,,,
AR11,Argentina,Resistencia,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,89,,,,,,,,,,
AR11,Argentina,Resistencia,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,42,,,,,,,,,,
AR02,Argentina,Córdoba,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,97,,,,,,,,,,
AR02,Argentina,Córdoba,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,55,,,,,,,,,,
AR02,Argentina,Córdoba,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,88,,,,,,,,,,
AR02,Argentina,Córdoba,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,62,,,,,,,,,,
AR13,Argentina,Corrientes,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,93,,,,,,,,,,
AR13,Argentina,Corrientes,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,45,,,,,,,,,,
AR13,Argentina,Corrientes,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,89,,,,,,,,,,
AR13,Argentina,Corrientes,AR,2511,Possession of Telephone,% of hh,,,,,,,,,,,43,,,,,,,,,,
AR03,Argentina,Mendoza,AR,2508,Possession of Refrigerator,% of hh,,,,,,,,,,,96,,,,,,,,,,
AR03,Argentina,Mendoza,AR,2506,Possession of Personal Computer,% of hh,,,,,,,,,,,48,,,,,,,,,,
AR03,Argentina,Mendoza,AR,68800,Possession of Mobile Telephone,% of hh,,,,,,,,,,,87,,,,,,,,,,
